"";"address";"city";"country";"name";"province";"reviews.date";"reviews.text";"reviews.title";"reviews.username";"cleaned";"document";"positive";"negative";"tflabel";"tf_idf_positive";"tf_idf_negative";"label_tf_idf";"comparison";"deg_of_sentiment";"rating"
"14729";"12920 Aldrich Ave S";"Burnsville";"US";"Norwood Inn and Suites";"MN";2015-03-07;"The room had no towels, when we did ask for towels they were going to send house keeping right up, that never happened. There was no TV remote, there was no ash tray (in a smoking room, nothing I would complain about usually but since there's so many others that ticked me off too) the cable line didn't even fit into the TV so all 13 of my channels barely came through. There are no movie channels so that's also a lie. The phone had no cord to the wall or to phone from the base. So when I finally did decide to complain about the towels I couldn't even call. The room was freezing, and disgusting. Was over all extremely disappointed. I wasn't expecting high class, but come on. That was horrible.";"The worst.";"A Traveler";" room towel ask towel go send house keep right never happen tv remote ash tray smoke room nothing complain usually since many tick cable line even fit tv channel barely come movie channel also lie phone cord wall phone base finally decide complain towel even call room freeze disgust extremely disappoint expect high class come horrible bad";"text514";1;6;"negative";0,0499512610132851;2,8257394425241;"negative";"same";-2,77578818151081;"3"
"26046";"11900 N W Plaza Cir";"Kansas City";"US";"Super 8 Kansas City Airport";"MO";2015-07-11;"Breakfast was horrible old apple juice and orange juice it looked like it was very very old, they should listen to the saying spend money to make money! I had a very bad experience and I would never stay there again even if they give me a free night, staff is very unfriendly they don't even explain to you why they make you sign s* and when I asked what I was signing and started reading it, I could tell the guy was getting mad, look people I don't like to sign s with knowing what it is!! I know you people wouldn't do it so why do you expect your customers to do it!! Also put I picture of the hotel online.";"sucky experience the worse ever! ! ! ! ! ! !";"A Traveler";" breakfast horrible old apple juice orange juice look like old listen say spend money make money bad experience never stay even give free night staff unfriendly even explain make sign s ask sign start read can tell guy get mad look people like sign s know know people expect customer also put picture hotel online sucky experience bad ever";"text970";3;6;"negative";0,149853783039855;2,8257394425241;"negative";"same";-2,67588565948424;"3"
"24024";"1035 W South Blvd";"Montgomery";"US";"Comfort Inn Montgomery";"AL";2014-05-17;"So, we picked this location based on what others said about it being so perfectly off the highway. Yes, that is true. There was nothing wrong with the room, in fact the bed was comfortable, the pillows were great and it was clean everything! It was a great place to crash for the night on our way down to FL. However - the surrounding location was, um, horrible. We didn't sleep well based on the fear of our car getting broken into. Conveniently there is a gas station right across the street so we could fill up and get drinks for the car ride the following day and there were strippers in the gas station maybe off duty for the night Broke a 20 and pretty sure we got wet crumpled stripper money back as change! Gross. We asked about food nearby because all that was close was fast food which we didn't want. We were told to drive down the road 10-15 min and there would be some sit down restaurants. I've never been so happy to see a Longhorn Steakhouse! After what felt like driving through the ghetto it was the place we were stopping without further exploring down the road. The hotel is a little outdated but can't blame them, the location doesn't scream new or getting a lot of people through town much. The breakfast was great though, awesome because we could eat then be on our way. If you plan on checking in late without the need to drive around town then I would recommend it. If you want to stop AND eat dinner, I would say find somewhere better.";"Not Bad but would have picked elsewhere";"A Traveler";" pick location base say perfectly highway yes true nothing wrong room fact bed comfortable pillow great clean everything great place crash night way fl however surround location um horrible sleep good base fear car get break conveniently gas station right across street can fill get drink car ride follow day stripper gas station maybe duty night break pretty sure get wet crumple stripper money back change gross ask food nearby close fast food want tell drive road min sit restaurant never happy see longhorn steakhouse feel like drive ghetto place stop without far explore road hotel little outdate blame location scream new get lot people town much breakfast great though awesome can eat way plan check late without need drive around town recommend want stop eat dinner say find somewhere good bad pick elsewhere";"text909";13;7;"positive";0,649366393172706;3,29669601627811;"negative";"different";-2,64732962310541;"3"
"12398";"7070 Poe Ave";"Dayton";"US";"Hawthorn Suites Dayton North";"OH";2015-08-24;"Our room, in bldg. 5, was well worn and out dated. We only stayed for one night and did not use the kitchen appliances but would not have used them for a longer stay as they seemed unclean. The carpet was stained and had runs in numerous places. The outside vanity area was ok but the interior of the bathroom was very bad. There was a large patch in the ceiling that the fiberglass webbing was still visible, it was not mudded and finished properly. The caulking around the tub was gross. It was obvious that the previous caulk was not removed or cleaned but that a new bead of caulk was placed over, poorly. The curtain rod was extremely loose and I was afraid to place my towel on it after showering as I was afraid it would fall. The tub fixtures were loose and the tub spout itself was at a 45 degree angle when we checked in. The bed and bedding were mediocre at best. Again, I was only in the room for a short time so I did not give the hotel an opportunity to rectify the problems but I feel any room that they may have moved me to would have had similar issues. I will be staying in the Dayton area for the next 4 years as my children are attending UD but I will not return to the Hawthorn.";"Dropping students at the university of Dayton";"bgpops";" room bldg good wear date stay one night use kitchen appliance use long stay seem unclean carpet stain run numerous place outside vanity area okay interior bathroom bad large patch ceil fiberglass web still visible mudded finish properly caulk around tub gross obvious previous caulk remove clean new bead caulk place poorly curtain rod extremely loose afraid place towel shower afraid fall tub fixture loose tub spout degree angle check bed bed mediocre good room short time give hotel opportunity rectify problem feel room may move similar issue stay dayton area next year child attend ud return hawthorn drop student university dayton";"text392";4;6;"negative";0,19980504405314;2,8257394425241;"negative";"same";-2,62593439847096;"3"
"14435";"311 2nd St";"Santa Cruz";"US";"Fireside Inn Santa Cruz";"Paradise Park";2015-10-24;"Please don't stay here. We ignored bad reviews and were lured by the proximity to the boardwalk. Now worth it. There were pubic hairs in the tub. The office reeked of incense. The party in front of us had the same number of people and the person working described the room as the Sam as ours and they paid 30 less than us. In addition to small, dark curly hairS in the tub, it didn't drain and was just scuzzy. There was a dowel in the window-not sure if it waddle security or what but it made us all uncomfortable. There are weird boxes on the walls for temperature control. Just yuck over all.";"Pubic hairs in tub!";"A Traveler";" please stay ignore bad review lure proximity boardwalk now worth pubic hair tub office reek incense party front us numb people person work describe room sam pay little us addition small dark curly hair tub drain just scuzzy dowel window sure waddle security make us uncomfortable weird box wall temperature control just yuck pubic hair tub";"text495";4;6;"negative";0,19980504405314;2,8257394425241;"negative";"same";-2,62593439847096;"3"
"16471";"15902 S Western Ave";"Gardena";"US";"Gardena Terrace Inn";"CA";2016-07-25;"We arrived late and was very disappointed with the appearance and location of the hotel. It loozed a little run down and the luggage cart was filthy. We had no choice but to stay because we wereally told that if we didnt,they we would still be charged 172 because they held the room for us. There were cigareties burns all over the jacuzzi, and my husband had to kill and flush a huge bug that was in it. The towels were old, dingy and brittle. The deadbolt on the front door didn't work. And,the patio do didn't have any kind of security lock, although the patio was adjacent to another room. Which meant if we had left our things there to go sightseeing, the people in the adjacent room could've easily broken into our room and stolen our things. To add insult to injury,the hotel charged my credit card twice and I had to call them about it and then wait days for them to return the other 172 that I clearly needed to pay for another hotel, since I was on vacation. The overall experience was very disappointing and caused a serious decline in the quality of our vacation...";"It's not what it looks like!!";"Zaunya";" arrive late disappoint appearance location hotel loozed little run luggage cart filthy choice stay wereally tell didnt still charge hold room us cigareties burn jacuzzi husband kill flush huge bug towel old dingy brittle deadbolt front door work patio kind security lock although patio adjacent another room mean leave thing go sightsee people adjacent room ve easily break room steal thing add insult injury hotel charge credit card twice call wait day return clearly need pay another hotel since vacation overall experience disappoint cause serious decline quality vacation look like";"text608";5;6;"negative";0,249756305066425;2,8257394425241;"negative";"same";-2,57598313745767;"3"
"26108";"3 Rue Verniquet";"Irving";"US";"Best Western Hotel De Neuville";"TX";2013-09-09;"The lobby is small but clean and pleasant. The Lift made me laugh -It wasn't even big enough for me and one sports bag, but the stairs are no real problem. I was sat on my bed after 10 mins of arrival. A flea landed on my leg.I had shorts on. I reported it and was moved rooms. The sink in the new room was broken. The bathroom was so poorly laid out you couldn't sit on the toilet straight. The rooms are tiny. My breakfast was not organised correctly so i had none. I did not have a relaxing stay. I could hear the TV in the next room all night. On my return i complained to Best Western. The manager of this hotel replied via Best Western's customer services. She did not believe that what i saw or had crawl on my leg and then jump off onto the bed was in fact a flea, i must have been mistaken. She was glad i enjoyed my breakfast. Obviously she did not really take the time to examine my complaint.... I stayed here as part of a 3 week tour of France. This was by far one of the worst hotels i stayed in yet one of the most expensive! I would not recommend this hotel, go to another.";"Worst hotel of my France Tour";"A Traveler";" lobby small clean pleasant lift make laugh even big enough one sport bag stair real problem sit bed min arrival flea land leg short report move room sink new room break bathroom poorly lay sit toilet straight room tiny breakfast organise correctly none relax stay can hear tv next room night return complain good western manager hotel reply via good westerns customer service believe see crawl leg jump onto bed fact flea must mistake glad enjoy breakfast obviously really take time examine complaint stay part week tour france far one bad hotel stay yet one much expensive recommend hotel go another bad hotel france tour";"text974";7;6;"positive";0,349658827092995;2,8257394425241;"negative";"different";-2,4760806154311;"3"
"8545";"380 W 7200 S";"Midvale";"US";"Discovery Inn";"Cushing";2016-06-23;"The hotel smells horrible. The room was worse with stains on sheets and in the shower. I request my money back and was told I had to speak with the owner who was nit there. So I stayed at the la Quinta and discovery inn got to keep my money. Horrible room horrible service.";"Gross";"e";" hotel smell horrible room bad stain sheet shower request money back tell speak owner nit stay la quinta discovery inn get keep money horrible room horrible service gross";"text253";0;5;"negative";0;2,35478286877008;"negative";"same";-2,35478286877008;"3"
"27617";"4934 N W Loop 410";"San Antonio";"US";"Fiesta Inn and Suites";"TX";2013-09-15;"Tyhere where holes in the wall broken closet door and,no towels or soap.Oh sheets where dirty too!!Gross!When I first checked in,I requested a lower floor room,stating I had surgery one week ago.They said I had no choice ,got 83rd floor ,NO ELEVATORS!STAIRS WHERE TRASHY And filthy!!!I WENT TO MY DAUGHTERS AIRFORCE BOOTCAMP,Sore and tired!!!THE MOST HORRIFIC,GROSS ,NIGHTMARISH h";"Tacky,nasty and filthy";"A verified traveler";" tyhere hole wall break closet door towel soap oh sheet dirty gross first check request low floor room state surgery one week ago say choice get rd floor elevator stair trashy filthy go daughter airforce bootcamp sore tire much horrific gross nightmarish h tacky nasty filthy";"text1038";0;5;"negative";0;2,35478286877008;"negative";"same";-2,35478286877008;"3"
"28586";"1745 S E Marshall St";"Boone";"US";"Baymont Inn and Suites Boone";"IA";2015-09-25;"The manager was very rude and impolite. The faucet in the whirlpool suit was broken before I was in the room and I was charged with it and I called to report that it was not us that broke the faucet and the manager woman was very rude and yelling on the phone. I then called back to the head... More";"The manager was very rude and impolite. The faucet in the...";"728heidig";" manager rude impolite faucet whirlpool suit break room charge call report us break faucet manager woman rude yell phone call back head much manager rude impolite faucet ";"text1086";0;5;"negative";0;2,35478286877008;"negative";"same";-2,35478286877008;"3"
"13001";"101 Lakeway Dr";"Austin";"US";"Lakeway Resort & Spa";"Lakeway";2016-07-30;"EVERY TIME I got to this hotel there are SIGNIFICANT INCOVENIENCES. This year, they did not give me the balcony room that I PREPAID for, and waited until check-in to tell me, so I had no options but to accept a room without one. AND, they did NOT offer any kind of compensation for that, nor did they ever apologize. Further, last year this hotel experienced a significant check-in process problem that kept me and my two toddlers without a room until 8pm (this also impacted about 100 guests). Within this, they issued me keys to two OCCUPIED rooms, so we walked in on people - terribly embarrassing, inconvenient, and UNSAFE. Again, no apologies or compensation offered. I wrote to the GM about this, and he begrudgingly comped one of our nights. Other issues - in general, the service is slow, uncoordinated, and unhelpful. People seem very polite but when it comes to accommodating you or problem solving, they aren't capable. It's like they aren't given the tools to do their jobs well and/or no one has really trained them - just a halfway (that's the nice term) approach to service is all you will see from the front desk and most other staff (except the spa which tends to be pretty awesome). Bottom line . . . the lake scenery and the spa are AMAZING. So, if you can dramatically lower your expectations about the hotel service level, you'll be fine. Otherwise, you to get a guest pass to the pool for the day, but stay in downtown Austin at night.";"Service is TERRIBLE but view is AMAZING";"Dana";" every time get hotel significant incoveniences year give balcony room prepay wait check tell option accept room without one offer kind compensation ever apologize far last year hotel experience significant check process problem keep two toddler without room pm also impact guest within issue key two occupy room walk people terribly embarrass inconvenient unsafe apology compensation offer write gm begrudgingly comped one night issue general service slow uncoordinated unhelpful people seem polite come accommodate problem solve capable like give tool job good one really train just halfway nice term approach service see front desk much staff except spa tend pretty awesome bottom line lake scenery spa amaze can dramatically low expectation hotel service level fine otherwise get guest pass pool day stay downtown austin night service terrible view amaze";"text415";10;6;"positive";0,499512610132851;2,8257394425241;"negative";"different";-2,32622683239125;"3"
"31733";"450 Raynolds St";"El Paso";"US";"Americas Best Value Inn - Medical Center/airport";"TX";2015-08-05;"this place was nasty. there were ants in my room and my father in law clogged the toilet. not enough towels and the front desk guy seemed like he hated his job. the lobby restroom was disgusting...it had hair on the toilet and dead bugs on the floor. avoid this place. I heard the ambulance all night";"gross hotel";"A Traveler";" place nasty ant room father law clog toilet enough towel front desk guy seem like hate job lobby restroom disgust hair toilet dead bug floor avoid place hear ambulance night gross hotel";"text1219";1;5;"negative";0,0499512610132851;2,35478286877008;"negative";"same";-2,3048316077568;"3"
"27386";"4934 N W Loop 410";"San Antonio";"US";"Fiesta Inn and Suites";"TX";2014-05-02;"En los 3 d��as q estuvimos solo hicieron limpieza en 1 habitaci��n de las 2 q ocupamos, no hab��a cerraduras, estaban quebradas ,solo hab��a la de la puerta, por lo tanto nos sentimos inseguros, parec��a vecindario, pues ah�� viv��a gente, no eran solo hu��spedes, NUNCA hubo desayunos !! y batallamos para q siquiera nos dieran toallas limpias de la habitaci��n q NUNCA limpiaron, seg��n dijeron el 3 piso lo asean solo 1 vez a la semana, el servicio malo, al principio nos dijeron q solo ten��amos reservaci��n de una habitaci��n y no era de 2 camas como la necesit��bamos, las habitaciones ol��an en exageraci��n a tabaco, solo la ubicaci��n del hotel era buena, pero en general DESASTROSO, NO VUELVO !!!";"PESIMO";"Karina Alvarez";" day clean room occupy lock break door therefore feel insecure seem like neighborhood people live just guest never breakfast struggle even give us clean towel room never clean accord say rd floor clean week bad service first tell us reservation one room bed need room smell exaggeration tobacco location hotel good general disaster return appall ";"text1022";2;5;"negative";0,0999025220265701;2,35478286877008;"negative";"same";-2,25488034674351;"3"
